match_id,distance_to_goal,shot_angle_rad,keeper_pressure_ratio,nearest_defender_distance,blocker_count,defenders_count,under_pressure,is_goal,body_part_Left Foot,body_part_Other,body_part_Right Foot,play_pattern_From Counter,play_pattern_From Free Kick,play_pattern_From Goal Kick,play_pattern_From Keeper,play_pattern_From Kick Off,play_pattern_From Throw In,play_pattern_Regular Play,active_shot_type
267611,25.556212551941258,0.2413117763209418,0.9105393704420134,2.7166155414412136,0,7,0,0,0,0,1,0,1,0,0,0,0,0,1
267611,26.534694269955324,0.2860789801077946,0.9884863173657826,9.835141076771604,4,8,0,0,0,0,1,0,1,0,0,0,0,0,1
267611,18.176083186429356,0.3217791828093797,0.8564348445243914,2.360084744241183,0,5,0,1,0,0,1,0,0,0,0,0,0,1,1
267611,12.447088012864697,0.5093873606649855,0.4629847405058437,1.8357559750685728,0,5,1,0,0,0,1,0,0,0,0,0,0,1,1
267611,22.20360331117452,0.3145636903659595,0.8181014978912621,2.8442925306655895,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1
3753973,14.43675863897433,0.1281781142179746,0.6710742569091389,3.8209946349085695,0,6,0,0,0,0,1,0,0,0,0,0,1,0,1
3753973,11.456002793295752,0.517499840431649,0.7411470800111692,1.140175425099142,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1
3753973,25.921805492673546,0.2813816605205886,0.8323549931716971,4.570557952810575,0,7,0,1,0,0,1,0,1,0,0,0,0,0,1
3753973,24.041630560342615,0.2374284710269079,0.859810069958118,1.9416487838947576,1,6,1,0,0,0,1,0,1,0,0,0,0,0,1
3753973,13.480726983364065,0.5707364706986517,0.7769445068612492,1.2529964086141592,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1
3753973,30.171675458946588,0.2563300062198534,0.8355689001797459,5.162363799656122,0,7,0,0,0,0,1,0,0,1,0,0,0,0,1
3753973,9.86154146165801,0.696853076669344,0.93715096330344,1.6401219466856702,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1
3753973,26.931208662070855,0.2769249050637328,0.8067826605629926,2.1213203435596513,0,7,0,0,0,0,1,0,1,0,0,0,0,0,1
3753973,20.4606940253746,0.2527705920290495,0.8423535635850684,3.8013155617496426,0,8,0,0,0,0,1,0,0,0,0,0,0,1,1
3753973,11.131936040060593,0.6660019748897381,0.7872962451726845,2.961418578992175,0,8,0,0,0,0,0,0,0,0,0,0,1,0,1
3753973,17.2246915792417,0.3115736346327178,0.541885436306508,2.6400757564888138,0,7,0,0,1,0,0,0,0,0,0,0,0,1,1
3753973,29.95363083167047,0.258278638906755,0.930362112762314,7.920227269466452,2,10,0,0,0,0,1,0,1,0,0,0,0,0,1
3753973,25.29703539942971,0.3043716811558246,0.9302065606079148,4.808326112068526,4,10,0,1,0,0,1,0,1,0,0,0,0,0,1
3753973,9.17877987534291,0.4092161790624374,0.6294456135484858,3.3241540277189343,0,7,0,0,0,0,1,0,0,0,0,0,0,1,1
3753973,26.369679558159216,0.297108157953924,0.9505127349346216,4.3046486500061745,2,10,0,0,0,0,1,0,1,0,0,0,0,0,1
3753973,14.286357128393508,0.0975100794512019,0.7034596385069504,3.4828149534536035,0,7,0,0,1,0,0,1,0,0,0,0,0,0,1
3753973,23.7065391822594,0.3038440006913669,0.8530873385049377,1.4142135623730951,0,9,0,0,0,0,1,0,0,0,0,0,1,0,1
3753973,16.67123270787137,0.3700232366747872,0.4262633319502926,3.705401462729781,0,3,0,1,1,0,0,0,0,0,0,0,0,1,1
3753973,17.982491484774854,0.3923746265447451,0.6836142532813976,3.5440090293338753,1,6,0,0,1,0,0,0,1,0,0,0,0,0,1
3753973,28.53278815678551,0.2511835474662461,0.9467728936760264,7.379024325749302,2,7,0,0,0,0,1,0,0,0,0,0,0,1,1
3753973,5.440588203494178,1.0824623757384912,0.3907719318255899,3.383784863137729,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1
3753973,20.153411621856986,0.3058592448972934,0.7017592345256828,1.9104973174542863,1,5,0,0,0,0,1,1,0,0,0,0,0,0,1
3753973,6.900724599634453,1.050597335071262,0.8694739100757382,0.8999999999999986,3,10,1,0,0,0,0,0,0,0,0,0,0,0,1
3753973,14.200352108310554,0.3281198950153055,0.8382736442849094,5.247856705360772,1,7,0,0,0,0,1,0,0,0,0,0,0,1,1
3753973,9.60208310732624,0.7893197119222086,0.8798170782079021,2.4738633753705885,2,7,0,0,0,0,1,0,0,0,0,0,0,1,1
3753973,7.702596964660688,0.957786044441864,0.8454675860549653,0.6082762530298295,4,10,1,0,0,0,0,0,0,0,0,0,0,0,1
3753973,16.344418007380987,0.4007419530891458,0.7660586456784504,1.7262676501632097,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1
3753973,7.400675644831361,0.9909851211236111,0.7568083043725684,0.8062257748298602,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1
3753973,13.577186748365806,0.4240734377235061,0.7016773406463107,1.4035668847618252,1,9,0,0,0,0,1,0,0,0,0,0,0,1,1
3753973,8.74757109145161,0.8493381044046486,0.8385011395362907,0.4472135954999484,2,10,1,0,0,0,0,0,0,0,0,0,0,0,1
3753973,27.510906927980397,0.28667614709291,0.8414196643741031,5.714017850864664,1,9,0,0,0,0,1,0,0,0,0,0,1,0,1
3753973,6.248199740725322,1.0303768265243127,0.816078186546716,0.6708203932499369,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1
3753973,28.769602013236128,0.2756649279322296,0.9527999842195832,9.73293378175358,0,9,0,0,0,0,1,0,1,0,0,0,0,0,1
3753973,14.038874598770372,0.5213081060907079,0.6428158663753009,2.137755832643198,2,7,0,0,0,0,1,0,1,0,0,0,0,0,1
3753983,17.117242768623694,0.3438927102067046,0.7931877190672969,0.8062257748298461,1,8,1,0,1,0,0,0,0,0,0,0,1,0,1
3753983,23.914012628582434,0.2829124263341509,0.7482347321400146,4.981967482832461,1,7,0,0,1,0,0,0,0,0,0,0,1,0,1
